"","species","Region","LifeForm3","timeLag","off_FirstRec","cs_FirstRec"
"85","Cascabela thevetia","Greece","PLANTS&ALGAE",-4,2014,2010
"86","Delosperma cooperi","Belgium","PLANTS&ALGAE",-4,2018,2014
"87","Erythranthe moschata","Belgium","PLANTS&ALGAE",-4,2019,2015
"88","Gracilechinus acutus","Norway","INV",-4,2017,2013
"89","Henosepilachna vigintioctopunctata","New Zealand","INV",-4,2010,2006
"90","Hypericum inodorum","Belgium","PLANTS&ALGAE",-4,2015,2011
"91","Septoria erigerontis","Switzerland","MICRO",-4,2011,2007
"92","Aridelus rufotestaceus","New Zealand","INV",-3,2013,2010
"93","Berberis ottawensis","Austria","PLANTS&ALGAE",-3,2016,2013
"94","Bergenia crassifolia","Belgium","PLANTS&ALGAE",-3,2011,2008
"95","Bougainvillea glabra","Italy","PLANTS&ALGAE",-3,2018,2015
"96","Cenchrus alopecuroides","Belgium","PLANTS&ALGAE",-3,2011,2008
"97","Equisetum arvense","United Kingdom","PLANTS&ALGAE",-3,2010,2007
"98","Euonymus fortunei","Belgium","PLANTS&ALGAE",-3,2010,2007
"99","Persea americana","Belgium","PLANTS&ALGAE",-3,2017,2014
"100","Scabiosa lucida","Belgium","PLANTS&ALGAE",-3,2019,2016
"101","Veronica austriaca","Belgium","PLANTS&ALGAE",-3,2015,2012
"102","Veronica austriaca","Belgium","PLANTS&ALGAE",-3,2015,2012
"103","Anaphalis triplinervis","Belgium","PLANTS&ALGAE",-2,2019,2017
"104","Aquilegia dumeticola","France","PLANTS&ALGAE",-2,2012,2010
"105","Austrocylindropuntia subulata","Greece","PLANTS&ALGAE",-2,2014,2012
"106","Cotoneaster bullatus","Belgium","PLANTS&ALGAE",-2,2010,2008
"107","Epilobium hirsutum","New Zealand","PLANTS&ALGAE",-2,2018,2016
"108","Halyomorpha halys","Italy","INV",-2,2012,2010
"109","Hedera hibernica","Belgium","PLANTS&ALGAE",-2,2010,2008
"110","Hermetia illucens","Netherlands","INV",-2,2019,2017
"111","Hibiscus rosa-sinensis","Greece","PLANTS&ALGAE",-2,2015,2013
"112","Lantana camara","Italy","PLANTS&ALGAE",-2,2015,2013
"113","Leptoglossus occidentalis","Netherlands","INV",-2,2010,2008
"114","Mentha requienii","Belgium","PLANTS&ALGAE",-2,2013,2011
"115","Ornithogalum narbonense","Belgium","PLANTS&ALGAE",-2,2013,2011
"116","Oxalis tetraphylla","Belgium","PLANTS&ALGAE",-2,2011,2009
"117","Pittosporum tobira","Greece","PLANTS&ALGAE",-2,2014,2012
"118","Popillia japonica","Italy","INV",-2,2014,2012
"119","Quercus frainetto","Belgium","PLANTS&ALGAE",-2,2011,2009
"120","Rubus armeniacus","France","PLANTS&ALGAE",-2,2011,2009
"121","Salvia rosmarinus","Belgium","PLANTS&ALGAE",-2,2010,2008
"122","Scilla sardensis","Belgium","PLANTS&ALGAE",-2,2011,2009
"123","Stramonita haemastoma","France","INV",-2,2018,2016
"124","Trachycarpus fortunei","Belgium","PLANTS&ALGAE",-2,2015,2013
"125","Acanthus spinosus","Belgium","PLANTS&ALGAE",-1,2016,2015
"126","Apalone ferox","Spain","VERT",-1,2018,2017
"127","Halyomorpha halys","United Kingdom","INV",-1,2020,2019
"128","Hermetia illucens","Greece","INV",-1,2015,2014
"129","Ilex crenata","Belgium","PLANTS&ALGAE",-1,2012,2011
"130","Leptoglossus occidentalis","Spain","INV",-1,2010,2009
"131","Mahonia bealei","Belgium","PLANTS&ALGAE",-1,2016,2015
"132","Micromeria filiformis","France","PLANTS&ALGAE",-1,2012,2011
"133","Nemophila maculata","Belgium","PLANTS&ALGAE",-1,2016,2015
"134","Obolodiplosis robiniae","Spain","INV",-1,2011,2010
"135","Oenothera canovirens","Belgium","PLANTS&ALGAE",-1,2017,2016
"136","Oenothera rubricalyx","Belgium","PLANTS&ALGAE",-1,2014,2013
"137","Panicum capillare","Italy","PLANTS&ALGAE",-1,2014,2013
"138","Procyon lotor","Sweden","VERT",-1,2010,2009
"139","Pteris vittata","New Zealand","PLANTS&ALGAE",-1,2010,2009
"140","Sarracenia rubra","Belgium","PLANTS&ALGAE",-1,2010,2009
"141","Thalia dealbata","Belgium","PLANTS&ALGAE",-1,2016,2015
"142","Washingtonia filifera","Greece","PLANTS&ALGAE",-1,2014,2013
"143","Acer cissifolium","Belgium","PLANTS&ALGAE",0,2014,2014
"144","Acer monspessulanum","Belgium","PLANTS&ALGAE",0,2015,2015
"145","Acizzia solanicola","New Zealand","INV",0,2012,2012
"146","Adiantum aleuticum","Belgium","PLANTS&ALGAE",0,2016,2016
"147","Alcea rugosa","Belgium","PLANTS&ALGAE",0,2010,2010
"148","Alectoris chukar","Belgium","VERT",0,2010,2010
"149","Allium hollandicum","Belgium","PLANTS&ALGAE",0,2012,2012
"150","Allium macleanii","Belgium","PLANTS&ALGAE",0,2014,2014
