species;eu_status;google;scopus;EASIN_Id;Status;TER;FRW;MAR;EST;habitat;worst_100_world_ISSG;worst_100_Europe_DAISIE;mentioned_in_EU_quarantine_species;partly_native
Pavonia sepium;NO;0;13;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Paysandisia archon;NO;3714;168;R10954;A;1;0;0;0;Terrestrial;NO;NO;YES;NO
Pealius azaleae;NO;0;3;R10959;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Pectinatella magnifica;NO;2267;122;R10962;A;0;1;0;0;Freshwater;NO;NO;NO;NO
Pelargonium candicans;NO;0;13;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Pelargonium inquinans;NO;2042;66;R10974;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Pelargonium ranunculophyllum;NO;0;5;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Pelecanus conspicillatus;NO;456;155;NA;NA;1;1;0;1;Terrestrial_ Freshwater_Estuary;NO;NO;NO;NO
Pelecanus rufescens;NO;0;117;R10986;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Pelodiscus sinensis;NO;3153;1881;NA;NA;1;1;0;0;Freshwater_Terrestrial;NO;NO;NO;NO
Penaeus aztecus;NO;0;3430;R19084;A;0;0;1;0;Marine;NO;NO;NO;NO
Penaeus hathor;NO;0;13;R19089;A;0;0;1;0;Marine;NO;NO;NO;NO
Penaeus pulchricaudatus;NO;0;25;R19376;A;0;0;1;0;Marine;NO;NO;NO;NO
Penaeus semisulcatus;NO;1508;3279;R11018;A;0;0;1;0;Marine;NO;NO;NO;NO
Penthimiola bella;NO;0;12;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Perca fluviatilis;NO;3352;16999;NA;NA;0;1;0;0;Freshwater;NO;NO;NO;YES
Percnon gibbesi;NO;2756;231;R11035;A;0;0;1;0;Marine;NO;YES;NO;NO
Perinereis linea;NO;0;33;NA;NA;0;0;1;0;Marine;NO;NO;NO;NO
Periploca graeca;NO;1583;98;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Perophora japonica;NO;NA;NA;R11120;C;0;0;1;0;NA;NA;NA;NO;NA
Perovskia abrotanoides;NO;1351;450;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Perovskia abrotanoides x Perovskia atriplicifolia;NO;0;40;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Perovskia atriplicifolia;NO;6289;256;R11121;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Persea americana;NO;8568;9473;R11122;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Persicaria nepalensis;NO;0;44;R18204;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Petrosedum sediforme;NO;0;8;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Phacelia campanularia;NO;1883;59;R11188;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Phallusia nigra;NO;NA;NA;R17404;A;0;0;1;0;NA;NA;NA;NO;NA
Phaseolus vulgaris;NO;10339;114568;R11236;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Phedimus aizoon;NO;344;26;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Phedimus stoloniferus;NO;0;4;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Pheidole indica;NO;0;187;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Phenacoccus madeirensis;NO;0;152;R11267;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Phenacoccus peruvianus;NO;0;73;R19957;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Phenacoccus solenopsis;NO;1538;1270;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Phenolia limbata;NO;0;4;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Phenolia picta;NO;0;11;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Philotrypesis emeryi;NO;0;4;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Phodopus roborovskii;NO;1792;254;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Phodopus sungorus;NO;3435;5863;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Phoenicopterus ruber;NO;2511;1148;R11347;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Phoeniculus purpureus;NO;0;450;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Phoenix canariensis;NO;5452;1091;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Phoenix dactylifera;NO;7822;14079;R11352;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Phoenix roebelenii;NO;7013;170;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Phoenix theophrasti;NO;2671;149;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Pholiurus pannonicus;NO;0;9;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Phormium tenax;NO;7957;1092;R11370;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Phyla nodiflora;NO;3541;347;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Phyllocnistis vitegenella;NO;0;5;R11412;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Phyllonorycter issikii;NO;0;81;R11419;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Phyllostachys viridiglaucescens;NO;923;84;R11433;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Phymosia umbellata;NO;1144;3;R19938;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Physalis philadelphica;NO;2156;590;R11459;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Physostegia virginiana;NO;4709;79;R11479;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Phyteuma spicatum;NO;1345;149;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Phytolacca acinosa;NO;1793;604;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Phytoliriomyza jacarandae;NO;0;19;R17147;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Phytophthora gonapodyides;NO;NA;NA;R18128;C;1;0;0;0;NA;NA;NA;NO;NA
Phytophthora kernoviae;NO;NA;NA;R11514;A;1;0;0;0;NA;NA;NA;NO;NA
Phytophthora plurivora;NO;NA;NA;R19466;C;1;0;0;0;NA;NA;NA;NO;NA
Picea abies;NO;10978;64305;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Picea omorika;NO;5449;611;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Picea sitchensis;NO;4159;9841;R11544;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Pileolaria berkeleyana;NO;0;19;R11565;A;0;0;1;0;Marine;NO;NO;NO;NO
Pileolaria militaris;NO;0;8;R11566;C;0;0;1;0;Marine;NO;NO;NO;NO
Pilosella officinarum;NO;1369;220;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Pilosella prussica;NO;0;0;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Pilosella stoloniflora;NO;0;0;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Pimpinella peregrina;NO;0;125;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Pinctada imbricata;NO;0;771;NA;NA;0;0;1;0;Marine;NO;NO;NO;NO
Pinnaspis aspidistrae;NO;0;17;R11615;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Pinus sylvestris;NO;12033;58803;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Pinus wallichiana;NO;4112;1239;R11652;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Pittosporum crassifolium;NO;3418;20;R11680;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Pittosporum tobira;NO;7991;468;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Pityophthorus juglandis;NO;0;206;R17684;A;1;0;0;0;Terrestrial;NO;NO;YES;NO
Plagiolepis vindobonensis;NO;0;18;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Plantago sempervirens;NO;0;219;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Platycercus adscitus;NO;0;22;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Platycercus elegans;NO;1189;207;R11774;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Platycercus eximius;NO;2278;93;R11775;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Platycercus icterotis;NO;0;11;R11776;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Platycerium bifurcatum;NO;4524;211;R11777;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Platycodon grandiflorus;NO;3882;371;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Platylomalus gardineri;NO;0;1;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Platyobria biemani;NO;0;5;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Plectorhinchus gaterinus;NO;0;15;NA;NA;0;0;1;0;Marine;NO;NO;NO;NO
Pleioblastus argenteostriatus;NO;0;14;R18259;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Pleistodontes imperialis;NO;0;13;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Pleopis schmackeri;NO;0;19;NA;NA;0;0;1;0;Marine;NO;NO;NO;NO
Pleurophorus caesus;NO;0;8;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Plocamopherus ocellatus;NO;0;14;R11823;A;0;0;1;0;Marine;NO;NO;NO;NO
Poa infirma;NO;521;57;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Podarcis siculus;NO;1637;204;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Pododesmus rudis;NO;0;14;NA;NA;0;0;1;0;Marine;NO;NO;NO;NO
Poicephalus senegalus;NO;1996;61;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Polydora aggregata;NO;0;4;NA;NA;0;0;1;0;Marine;NO;NO;NO;NO
Polydora cornuta;NO;0;294;R11930;A;0;0;1;0;Marine;NO;NO;NO;NO
Polydora websteri;NO;609;238;NA;NA;0;0;1;0;Marine;NO;NO;NO;NO
Polygala myrtifolia;NO;5370;169;R11937;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Polygonatum hybridum;NO;1452;4;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Polypogon viridis;NO;0;24;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Polysiphonia schneideri;NO;0;22;R19696;C;0;0;1;0;Marine;NO;NO;NO;NO
Polystichum acrostichoides;NO;2727;127;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Polystichum aculeatum;NO;2520;94;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Polystichum braunii;NO;1329;74;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Polystichum munitum;NO;4391;173;R12023;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Polystichum polyblepharum;NO;3463;17;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Polytelis anthopeplus;NO;629;78;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Polytelis swainsonii;NO;1016;28;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Pomadasys stridens;NO;832;87;R12030;A;0;0;1;0;Marine;NO;NO;NO;NO
Pomatoschistus microps;NO;879;2416;NA;NA;0;0;1;0;Marine;NO;NO;NO;YES
Pontinus kuhlii;NO;0;94;NA;NA;0;0;1;0;Marine;NO;NO;NO;YES
Popillia japonica;NO;1482;2020;R12052;A;1;0;0;0;Terrestrial;NO;NO;YES;NO
Populus berolinensis;NO;0;1554;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Populus jackii;NO;0;42;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Potamothrix hammoniensis;NO;0;101;NA;NA;0;0;1;0;Marine;NO;NO;NO;YES
Potentilla fruticosa;NO;7685;844;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Potentilla indica;NO;2152;579;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Potentilla nepalensis;NO;2938;49;R12174;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Potentilla recta;NO;2012;296;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Potentilla supina;NO;1530;62;R12190;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Primula denticulata;NO;3768;189;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Primula elatior;NO;2928;662;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Primula florindae;NO;1604;41;R12218;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Procambarus virginalis;NO;578;305;NA;NA;0;0;1;0;Marine;NO;NO;NO;NO
Prociphilus fraxinifolii;NO;0;18;R12258;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Procyon lotor;accepted;4743;5052;R12260;A;1;0;0;0;Terrestrial;NO;YES;NO;NO
Protea cynaroides;NO;3044;183;R12291;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Protopulvinaria pyriformis;NO;0;77;R12303;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Prunus syriaca;NO;930;402;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Psacothea hilaris;NO;0;792;R12351;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Psephellus dealbatus;NO;264;0;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Pseudemys concinna;NO;3380;456;NA;NA;1;1;0;0;Freshwater_Terrestrial;NO;NO;NO;NO
Pseudococcus comstocki;NO;0;184;R12395;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Pseudococcus longispinus;NO;923;436;R12398;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Pseudococcus viburni;NO;1783;259;R12403;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Pseudodiaptomus marinus;NO;NA;NA;R17405;A;0;0;1;0;NA;NA;NA;NO;NA
Pseudomuscari azureum;NO;0;3;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Pseudonereis anomala;NO;0;55;R12434;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Pseudoturritis turrita;NO;0;1;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Psittacula alexandri;NO;783;19;R12473;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Psittacula cyanocephala;NO;833;76;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Psittacula derbiana;NO;1288;12;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Psittacula eupatria;NO;2752;68;R12476;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Psittacus erithacus;NO;4255;2659;R12478;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Psyllaephagus bliteus;NO;0;117;R17747;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Pteris multifida;NO;1427;384;R12502;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Pteris parkeri;NO;0;1;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Pteris vittata;NO;2863;6117;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Pterocarya pterocarpa;NO;0;13;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Pterois miles;consideration;2229;855;R16480;A;0;0;1;0;Marine;NO;NO;NO;NO
Pterostyrax hispidus;NO;0;2;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Ptilohyale littoralis;NO;0;14;R18250;A;0;0;1;0;Marine;NO;NO;NO;NO
Pueraria montana;NO;2550;1264;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Pulicaria arabica;NO;0;139;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Pulicaria paludosa;NO;0;90;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Pulmonaria mollis;NO;1820;44;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Pulmonaria rubra;NO;1094;60;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Pycnanthemum verticillatum;NO;0;3;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Pycnonotus barbatus;NO;1126;66;R12683;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Pycnonotus leucotis;NO;0;25;R12687;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Pyracantha crenulata;NO;1595;105;R12702;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Pyracantha fortuneana;NO;0;284;R18837;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Pyropia suborbiculata;NO;0;61;R19385;C;0;0;1;0;Marine;NO;NO;NO;NO
Pyropia yezoensis;NO;0;1334;R17592;C;0;0;1;0;Marine;NO;NO;NO;NO
Pyrrhura perlata;NO;2207;35;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Pyrunculus fourierii;NO;0;3;R12721;A;0;0;1;0;Marine;NO;NO;NO;NO
Quercus frainetto;NO;3627;529;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Quercus ilex;NO;6590;17961;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Quiscalus quiscula;NO;1656;368;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Rabigus pullus;NO;0;1;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Rangia cuneata;NO;735;976;R12802;A;0;1;0;0;Freshwater;NO;NO;NO;NO
Ranunculus pensylvanicus;NO;0;2;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NA
Ranunculus polyanthemophyllus;NO;0;1;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Raphanus raphanistrum;NO;4199;3684;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Reptadeonella violacea;NO;0;2;NA;NA;0;0;1;0;Marine;NO;NO;NO;YES
Reynoutria sachalinensis;NO;2423;679;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Rhagoletis cingulata;NO;0;257;R12909;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Rhagoletis completa;NO;1527;354;R12910;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Rhagoletis suavis;NO;0;49;R19571;A;1;0;0;0;Terrestrial;NO;NO;YES;NO
Rhaponticum repens;NO;0;100;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Rhinoclavis kochi;NO;0;3;R12936;A;0;0;1;0;Marine;NO;NO;NO;NO
Rhipicephalus sanguineus;NO;6842;6727;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Rhithropanopeus harrisii;NO;986;1621;R12942;A;0;1;0;1;Freshwater_ Estuary;NO;NO;NO;NO
Rhodospiza obsoleta;NO;0;10;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Rhopalopyx elongata;NO;0;0;NA;NA;NA;NA;NA;NA;NA;NO;NO;NO;YES
Rhopilema nomadica;NO;2612;297;R12995;A;0;0;1;0;Marine;NO;YES;NO;NO
Rhyssemus germanus;NO;0;3;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Rhyzobius forestieri;NO;0;36;R13021;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Ribes divaricatum;NO;897;13;R13028;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Ribes petraeum;NO;0;37;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Ricania speculum;NO;734;54;R19311;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Ripariosida hermaphrodita;NO;0;0;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Rodgersia aesculifolia;NO;3249;37;R13064;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Rodgersia podophylla;NO;3221;69;R13066;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Rorippa anceps;NO;0;7;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Rosa acicularis;NO;2943;159;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Rosa chinensis;NO;4353;6825;R13105;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Rosa moschata;NO;3208;689;R13122;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Rosa nitida;NO;2854;426;R13125;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Rotala rotundifolia;NO;6987;61;R19452;A;1;1;0;0;Freshwater_Terrestrial;NO;NO;NO;NO
Rubus adscitus;NO;0;1;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Rubus andegavensis;NO;0;0;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Rubus armeniacus;NO;2187;98;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Rubus cockburnianus;NO;1402;3;R13172;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Rubus laciniatus;NO;1423;255;R13188;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Rubus nutkanus;NO;0;0;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Rubus phyllostachys;NO;0;84;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Rudbeckia fulgida;NO;5717;239;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Ruditapes philippinarum;NO;2123;9580;R15832;A;0;0;1;0;Marine;NO;NO;NO;NO
Rumex confusus;NO;0;4;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Rumex crispus;NO;7633;2625;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Rumex cristatus;NO;0;31;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Rumex hybridus;NO;0;106;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Rumex kerneri;NO;0;5;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Rumex persicarioides;NO;0;2;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Rumex pseudonatronatus;NO;0;4;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Sagittaria latifolia;NO;3946;869;R13345;A;0;1;0;0;Freshwater;NO;NO;NO;NO
Salix apennina;NO;0;16;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Salix babylonica;NO;5321;836;R18706;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Salix lucida;NO;1008;87;R13403;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Salix myrsinifolia;NO;584;517;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Salix pendulina;NO;0;8;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Salix viminalis;NO;5667;5200;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Salvia divinorum;NO;10422;1806;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Salvia elegans;NO;2765;1614;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Salvia hispanica;NO;8291;3807;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Salvia patens;NO;4588;614;R13482;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Salvia rosmarinus;NO;3259;5627;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Salvinia minima;NO;4530;861;R13498;A;0;1;0;0;Freshwater;NO;NO;NO;NO
Sambucus racemosa;NO;5306;405;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Sarracenia purpurea;NO;5658;1284;R13555;A;1;1;0;0;Freshwater_Terrestrial;NO;NO;NO;NO
Sarracenia rubra;NO;3346;134;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Sarucallis kahawaluokalani;NO;0;32;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Sasa palmata;NO;2422;240;R13557;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Sauromatum venosum;NO;3482;63;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Saxifraga arendsii;NO;3089;1;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Saxifraga rotundifolia;NO;1277;112;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Scabiosa lucida;NO;872;15;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Scabiosa ochroleuca;NO;3314;32;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Scaevola aemula;NO;2981;88;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Scandix stellata;NO;0;5;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Scardinius erythrophthalmus;NO;2036;1505;NA;NA;0;1;0;0;Freshwater;NO;NO;NO;YES
Scarus ghobban;NO;762;246;R16491;A;0;0;1;0;Marine;NO;NO;NO;NO
Sceliphron deforme;NO;100;12;R13627;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Schizobrachiella verrilli;NO;0;2;R19119;C;0;0;1;0;Marine;NO;NO;NO;NO
Schizoporella errata;NO;0;162;R13650;C;0;0;1;0;Marine;NO;NO;NO;NO
Schizoporella japonica;consideration;192;50;R18243;A;0;0;1;0;Marine;NO;NO;NO;NO
Schizoporella pungens;NO;0;16;R19293;A;0;0;1;0;Marine;NO;NO;NO;NO
Schoenoplectiella bucharica;NO;0;0;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Scilla bifolia;NO;1293;158;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Scilla luciliae;NO;699;40;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Scilla sardensis;NO;461;4;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Sciophila fractinervis;NO;0;1;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
Scirpus atrovirens;NO;826;42;R13684;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Sclerophylax spinescens;NO;0;1;R13712;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Scyphophorus acupunctatus;NO;1253;154;R13772;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Scytosiphon dotyi;NO;NA;NA;R13776;A;0;0;1;0;NA;NA;NA;NO;NA
Sebastiscus marmoratus;NO;743;1700;R19703;A;0;0;1;0;Marine;NO;NO;NO;NO
Secale derzhavinii;NO;0;5;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Secale montanum;NO;0;427;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Sedum pallidum;NO;659;39;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Sedum sarmentosum;NO;3319;606;R13818;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Sedum spathulifolium;NO;2995;2;R13822;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Semiarundinaria fastuosa;NO;2640;2;R13843;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Sempervivum arachnoideum;NO;5443;30;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Sempervivum fauconnettii;NO;0;0;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Senecio angulatus;NO;2680;65;R13856;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Senecio viscosus;NO;1045;89;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Septifer cumingii;NO;0;9;R17482;A;0;0;1;0;Marine;NO;NO;NO;NO
Septoria erigerontis;NO;0;3;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;NO
