species;eu_status;google;scopus;EASIN_Id;Status;TER;FRW;MAR;EST;habitat;worst_100_world_ISSG;worst_100_Europe_DAISIE;mentioned_in_EU_quarantine_species;partly_native
Marionfyfea adventor;NO;0;1;R19508;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Marisa cornuarietis;NO;1437;893;R19419;A;0;1;0;0;Freshwater;NO;NO;NO;NO
Marsilea drummondii;NO;0;115;NA;NA;1;1;0;0;Terrestrial_Freshwater;NO;NO;NO;NO
Matricaria aurea;NO;0;144;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Matthiola incana;NO;3233;1366;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Matuta victor;NO;597;37;R17583;A;0;0;1;0;Marine;NO;NO;NO;NO
Mauremys reevesii;NO;2578;250;NA;NA;1;1;0;0;Freshwater_Terrestrial;NO;NO;NO;NO
Mawia benovici;NO;0;17;NA;NA;0;0;1;0;Marine;NO;NO;NO;NO
Mazus miquelii;NO;844;31;R09122;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Mazus pumilus;NO;812;47;R09124;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Medicago arborea;NO;2378;909;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Medicago monspeliaca;NO;0;22;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Megabalanus tintinnabulum;NO;0;97;R09178;A;0;0;1;0;Marine;NO;NO;NO;NO
Megabruchidius dorsalis;NO;0;34;R09180;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Megabruchidius tonkineus;NO;0;27;R17682;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Megachile sculpturalis;NO;1089;110;R19998;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Melampyrum nemorosum;NO;1258;61;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Melanophthalma fuscipennis;NO;0;2;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Melilotus elegans;NO;0;98;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Melilotus infestus;NO;0;3;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Melinis repens;NO;1689;103;R09288;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Melita nitida;NO;0;68;R09291;A;0;0;1;0;Marine;NO;NO;NO;NO
Meloidogyne incognita;NO;7201;16084;R09298;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Melopsittacus undulatus;NO;3771;4896;R09304;A;1;0;0;0;Terrestrial;NO;NO;NO;NO
Mentha cervina;NO;2307;121;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
Mentha requienii;NO;3299;24;NA;NA;1;0;0;0;Terrestrial;NO;NO;NO;YES
