"Region";"TaxonName";"scientificName";"Family";"Order";"Class";"Phylum";"Taxonomy";"OrigName";"Island";"PresentStatus";"FirstRecord";"FirstRecord_orig";"Source";"time_lag";"griis_first_observed"
"France";"Hylotelephium spectabile";"Hylotelephium spectabile (Boreau) H.Ohba";"Crassulaceae";"Saxifragales";"Magnoliopsida";"Tracheophyta";"GBIF";"Hylotelephium spectabile";"2010";"";2010;"";"INPN-FCBN/IDigBio";NA;NA
"France";"Hypericum mutilum";"Hypericum mutilum L.";"Hypericaceae";"Malpighiales";"Magnoliopsida";"Tracheophyta";"GBIF";"Hypericum mutilum";"2013";"";2013;"";"INPN-FCBN/IDigBio";NA;NA
"France";"Hypochoeris radicata";"Hypochoeris radicata L.";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"GBIF";"Hypochoeris radicata";"2010";"";2010;"";"INPN-FCBN/IDigBio";NA;NA
"France";"Ianiropsis serricaudis";"Ianiropsis serricaudis Gurjanova, 1936";"Janiridae";"Isopoda";"Malacostraca";"Arthropoda";"GBIF";"Ianiropsis serricaudis";"";"";2013;"2013";"AquaNIS (2020)";NA;NA
"France";"Iris orientalis";NA;NA;NA;NA;NA;"GBIF";NA;"2014";"";2014;"";"INPN-FCBN/IDigBio";NA;NA
"France";"Lespedeza bicolor";"Lespedeza bicolor Turcz.";"Fabaceae";"Fabales";"Magnoliopsida";"Tracheophyta";"GBIF";"Lespedeza bicolor";"2012";"";2012;"";"INPN-FCBN/IDigBio";NA;NA
"France";"Limonium densissimum";"Limonium densissimum (Pignatti) Pignatti";"Plumbaginaceae";"Caryophyllales";"Magnoliopsida";"Tracheophyta";"GBIF";"Limonium densissimum";"2015";"";2015;"";"INPN-FCBN/IDigBio";NA;NA
"France";"Linaria maroccana";"Linaria maroccana Hook.fil.";"Plantaginaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"GBIF";"Linaria maroccana";"2012";"";2012;"";"INPN-FCBN/IDigBio";NA;NA
"France";"Linaria purpurea";"Linaria purpurea (L.) Mill.";"Plantaginaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"GBIF";"Linaria purpurea";"2010";"";2010;"";"INPN-FCBN/IDigBio";NA;NA
"France";"Lonicera fragrantissima";"Lonicera fragrantissima Lindl. & Paxton";"Caprifoliaceae";"Dipsacales";"Magnoliopsida";"Tracheophyta";"GBIF";"Lonicera fragrantissima";"2012";"";2012;"";"INPN-FCBN/IDigBio";NA;NA
"France";"Lycianthes rantonnetii";"Lycianthes rantonnetii (Carri�re ex Lesc.) Bitter";"Solanaceae";"Solanales";"Magnoliopsida";"Tracheophyta";"GBIF";"Lycianthes rantonnetii";"2011";"";2011;"";"INPN-FCBN/IDigBio";NA;NA
"France";"Magydaris pastinacea";"Magydaris pastinacea (Lam.) Paol.";"Apiaceae";"Apiales";"Magnoliopsida";"Tracheophyta";"GBIF";"Magydaris pastinacea";"2011";"";2011;"";"INPN-FCBN/IDigBio";NA;NA
"France";"Marsilea drummondii";"Marsilea drummondii A.Braun";"Marsileaceae";"Salviniales";"Polypodiopsida";"Tracheophyta";"GBIF";"Marsilea drummondii";"2010";"";2010;"";"INPN-FCBN/IDigBio";NA;NA
"France";"Megabruchidius dorsalis";"Megabruchidius dorsalis (F�hraeus, 1839)";"Chrysomelidae";"Coleoptera";"Insecta";"Arthropoda";"GBIF";"Megabruchidius dorsalis (Fahreus, 1839)";"";"alien";2012;"2012";"Roques et al. (2010); Roques et al. (2016)";NA;NA
