"Region";"TaxonName";"scientificName";"Family";"Order";"Class";"Phylum";"Taxonomy";"OrigName";"Island";"PresentStatus";"FirstRecord";"FirstRecord_orig";"Source";"time_lag";"griis_first_observed"
"Albania";"Acer negundo";"Acer negundo";"Sapindaceae";"Sapindales";"Magnoliopsida";"Tracheophyta";"TPL";"Acer negundo";"";"established";2013;"2013";"Barina Z et al. (2014)";NA;NA
"Albania";"Albizia julibrissin";"Albizia julibrissin";"Leguminosae";"Fabales";"Magnoliopsida";"Tracheophyta";"TPL";"Albizia julibrissin";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Alcea rosea";"Alcea rosea";"Malvaceae";"Malvales";"Magnoliopsida";"Tracheophyta";"TPL";"Alcea rosea";"";"established";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Aphis illinoisensis";"Aphis illinoisensis Shimer, 1866";"Aphididae";"Hemiptera";"Insecta";"Arthropoda";"GBIF";"Aphis Aphis illinoisensis Shimer 1866";"";"established";2011;"2011";"DAISIE";NA;NA
"Albania";"Aralia spinosa";"Aralia spinosa";"Araliaceae";"Apiales";"Magnoliopsida";"Tracheophyta";"TPL";"Aralia spinosa";"";"established";2010;"2010";"Barina Z et al. (2014)";NA;NA
"Albania";"Artemisia verlotiorum";"Artemisia verlotiorum";"Compositae";"Asterales";"Magnoliopsida";"Tracheophyta";"TPL";"Artemisia verlotiorum";"";"established";2012;"2012";"Barina Z et al. (2014)";NA;NA
"Albania";"Azolla filiculoides";"Azolla filiculoides";"Salviniaceae";"Salviniales";"Polypodiopsida";"Tracheophyta";"TPL";"Azolla filiculoides";"";"established";2013;"2013";"Barina Z et al. (2014)";NA;NA
"Albania";"Bougainvillea glabra";"Bougainvillea glabra";"Nyctaginaceae";"Caryophyllales";"Magnoliopsida";"Tracheophyta";"TPL";"Bougainvillea glabra";"";"casual";2013;"2013";"Barina Z et al. (2014)";NA;NA
"Albania";"Broussonetia papyrifera";"Broussonetia papyrifera";"Moraceae";"Rosales";"Magnoliopsida";"Tracheophyta";"TPL";"Broussonetia papyrifera";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Buddleja davidii";"Buddleja davidii";"Scrophulariaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"TPL";"Buddleja davidii";"";"established";2010;"2010";"Barina Z et al. (2014)";NA;NA
"Albania";"Calendula officinalis";"Calendula officinalis";"Compositae";"Asterales";"Magnoliopsida";"Tracheophyta";"TPL";"Calendula officinalis";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Campsis radicans";"Campsis radicans";"Bignoniaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"TPL";"Campsis radicans";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Canna indica";"Canna indica";"Cannaceae";"Zingiberales";"Magnoliopsida";"Tracheophyta";"TPL";"Canna indica";"";"casual";2013;"2013";"Barina Z et al. (2014)";NA;NA
"Albania";"Cannabis sativa";"Cannabis sativa";"Cannabaceae";"Rosales";"Magnoliopsida";"Tracheophyta";"TPL";"Cannabis sativa";"";"established";2013;"2013";"Barina Z et al. (2014)";NA;NA
"Albania";"Cardiospermum halicacabum";"Cardiospermum halicacabum";"Sapindaceae";"Sapindales";"Magnoliopsida";"Tracheophyta";"TPL";"Cardiospermum halicacabum";"";"casual";2013;"2013";"Barina Z et al. (2014)";NA;NA
"Albania";"Cedrus deodara";"Cedrus deodara";"Pinaceae";"Pinales";"Pinopsida";"Tracheophyta";"TPL";"Cedrus deodara";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Commelina communis";"Commelina communis";"Commelinaceae";"Commelinales";"Liliopsida";"Tracheophyta";"TPL";"Commelina communis";"";"casual";2010;"2010";"Barina Z et al. (2014)";NA;NA
"Albania";"Corythucha arcuata";"Corythucha arcuata Say";"Tingidae";"Hemiptera";"Insecta";"Arthropoda";"GBIF";"Corythucha arcuata";"";"";2016;"2016";"Cs�ka et al. 2019";NA;NA
"Albania";"Cucurbita pepo";"Cucurbita pepo";"Cucurbitaceae";"Cucurbitales";"Magnoliopsida";"Tracheophyta";"TPL";"Cucurbita pepo";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Cyclospermum leptophyllum";"Cyclospermum leptophyllum";"Apiaceae";"Apiales";"Magnoliopsida";"Tracheophyta";"TPL";"Cyclospermum leptophyllum";"";"established";2010;"2010";"Barina Z et al. (2014)";NA;NA
"Albania";"Cynara scolymus";"Cynara scolymus";"Compositae";"Asterales";"Magnoliopsida";"Tracheophyta";"TPL";"Cynara scolymus";"";"casual";2013;"2013";"Barina Z et al. (2014)";NA;NA
"Albania";"Cyperus alternifolius";"Cyperus alternifolius";"Cyperaceae";"Poales";"Magnoliopsida";"Tracheophyta";"TPL";"Cyperus alternifolius";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Eclipta prostrata";"Eclipta prostrata";"Compositae";"Asterales";"Magnoliopsida";"Tracheophyta";"TPL";"Eclipta prostrata";"";"established";2013;"2013";"Barina Z et al. (2014)";NA;NA
"Albania";"Erigeron annuus";"Erigeron annuus";"Compositae";"Asterales";"Magnoliopsida";"Tracheophyta";"TPL";"Erigeron annuus";"";"established";2013;"2013";"Barina Z et al. (2014)";NA;NA
"Albania";"Eucalyptus camaldulensis";"Eucalyptus camaldulensis";"Myrtaceae";"Myrtales";"Magnoliopsida";"Tracheophyta";"TPL";"Eucalyptus camaldulensis";"";"established";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Eucalyptus globulus";"Eucalyptus globulus";"Myrtaceae";"Myrtales";"Magnoliopsida";"Tracheophyta";"TPL";"Eucalyptus globulus";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Euphorbia lathyris";"Euphorbia lathyris";"Euphorbiaceae";"Malpighiales";"Magnoliopsida";"Tracheophyta";"TPL";"Euphorbia lathyris";"";"casual";2012;"2012";"Barina Z et al. (2014)";NA;NA
"Albania";"Fallopia aubertii";"Fallopia aubertii";"Polygonaceae";"Caryophyllales";"Magnoliopsida";"Tracheophyta";"TPL";"Fallopia aubertii";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Hedera algeriensis";"Hedera algeriensis";"Araliaceae";"Apiales";"Magnoliopsida";"Tracheophyta";"TPL";"Hedera algeriensis";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Hordeum distichon";"Hordeum distichon";"Poaceae";"Poales";"Magnoliopsida";"Tracheophyta";"TPL";"Hordeum distichon";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Impatiens balsamina";"Impatiens balsamina";"Balsaminaceae";"Ericales";"Magnoliopsida";"Tracheophyta";"TPL";"Impatiens balsamina";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Lactuca sativa";"Lactuca sativa";"Compositae";"Asterales";"Magnoliopsida";"Tracheophyta";"TPL";"Lactuca sativa";"";"casual";2012;"2012";"Barina Z et al. (2014)";NA;NA
"Albania";"Lycopersicon esculentum";"Lycopersicon esculentum";"Solanaceae";"Solanales";"Magnoliopsida";"Tracheophyta";"TPL";"Lycopersicon esculentum";"";"casual";2010;"2010";"Barina Z et al. (2014)";NA;NA
"Albania";"Mirabilis jalapa";"Mirabilis jalapa";"Nyctaginaceae";"Caryophyllales";"Magnoliopsida";"Tracheophyta";"TPL";"Mirabilis jalapa";"";"casual";2010;"2010";"Barina Z et al. (2014)";NA;NA
"Albania";"Morus nigra";"Morus nigra";"Moraceae";"Rosales";"Magnoliopsida";"Tracheophyta";"TPL";"Morus nigra";"";"casual";2012;"2012";"Barina Z et al. (2014)";NA;NA
"Albania";"Obolodiplosis robiniae";"Obolodiplosis robiniae (Haldeman, 1847)";"Cecidomyiidae";"Diptera";"Insecta";"Arthropoda";"GBIF";"Obolodiplosis robiniae (Haldeman, 1847)";"";"alien";2010;"2010";"Roques et al. (2010); Roques et al. (2016)";NA;NA
"Albania";"Panicum dichotomiflorum";"Panicum dichotomiflorum";"Poaceae";"Poales";"Magnoliopsida";"Tracheophyta";"TPL";"Panicum dichotomiflorum";"";"casual";2013;"2013";"Barina Z et al. (2014)";NA;NA
"Albania";"Parthenocissus quinquefolia";"Parthenocissus quinquefolia";"Vitaceae";"Vitales";"Magnoliopsida";"Tracheophyta";"TPL";"Parthenocissus quinquefolia";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Phaseolus vulgaris";"Phaseolus vulgaris";"Leguminosae";"Fabales";"Magnoliopsida";"Tracheophyta";"TPL";"Phaseolus vulgaris";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Phoenix canariensis";"Phoenix canariensis";"Arecaceae";"Arecales";"Magnoliopsida";"Tracheophyta";"TPL";"Phoenix canariensis";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Phytophthora nicotianae";"Phytophthora nicotianae Henn.";"Peronosporaceae";"Peronosporales";"Peronosporea";"Oomycota";"GBIF";"Phytophthora nicotianae";"";"";2013;"2013";"PHYTO-THREATS; Farr and Rossman 2019";NA;NA
"Albania";"Salix babylonica";"Salix babylonica";"Salicaceae";"Malpighiales";"Magnoliopsida";"Tracheophyta";"TPL";"Salix babylonica";"";"casual";2010;"2010";"Barina Z et al. (2014)";NA;NA
"Albania";"Senecio angulatus";"Senecio angulatus";"Compositae";"Asterales";"Magnoliopsida";"Tracheophyta";"TPL";"Senecio angulatus";"";"established";2010;"2010";"Barina Z et al. (2014)";NA;NA
"Albania";"Sisyrinchium angustifolium";"Sisyrinchium angustifolium";"Iridaceae";"Asparagales";"Liliopsida";"Tracheophyta";"TPL";"Sisyrinchium angustifolium";"";"established";2013;"2013";"Barina Z et al. (2014)";NA;NA
"Albania";"Solanum tuberosum";"Solanum tuberosum";"Solanaceae";"Solanales";"Magnoliopsida";"Tracheophyta";"TPL";"Solanum tuberosum";"";"casual";2012;"2012";"Barina Z et al. (2014)";NA;NA
"Albania";"Symphoricarpos albus";"Symphoricarpos albus";"Caprifoliaceae";"Dipsacales";"Magnoliopsida";"Tracheophyta";"TPL";"Symphoricarpos albus";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Tagetes erecta";"Tagetes erecta";"Compositae";"Asterales";"Magnoliopsida";"Tracheophyta";"TPL";"Tagetes erecta";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Tagetes minuta";"Tagetes minuta";"Compositae";"Asterales";"Magnoliopsida";"Tracheophyta";"TPL";"Tagetes minuta";"";"established";2010;"2010";"Barina Z et al. (2014)";NA;NA
"Albania";"Trichopoda pennipes";"";"Tachinidae";"Diptera";"Insecta";"Arthropoda";"";"";"";"";2019;"2019";"KAZILAS ET AL.2020 Expansion of Trichopoda pennipes in the Western Palearctic";NA;NA
"Albania";"Triticum aestivum";"Triticum aestivum";"Poaceae";"Poales";"Liliopsida";"Tracheophyta";"TPL";"Triticum aestivum";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Veronica peregrina";"Veronica peregrina";"Plantaginaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"TPL";"Veronica peregrina";"";"established";2010;"2010";"Barina Z et al. (2014)";NA;NA
"Albania";"Vicia faba";"Vicia faba";"Leguminosae";"Fabales";"Magnoliopsida";"Tracheophyta";"TPL";"Vicia faba";"";"casual";2013;"2013";"Barina Z et al. (2014)";NA;NA
"Albania";"Washingtonia robusta";"Washingtonia robusta";"Arecaceae";"Arecales";"Liliopsida";"Tracheophyta";"TPL";"Washingtonia robusta";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Albania";"Zantedeschia aethiopica";"Zantedeschia aethiopica";"Araceae";"Alismatales";"Liliopsida";"Tracheophyta";"TPL";"Zantedeschia aethiopica";"";"casual";2013;"2013";"Barina Z et al. (2014)";NA;NA
"Albania";"Zea mays";"Zea mays";"Poaceae";"Poales";"Liliopsida";"Tracheophyta";"TPL";"Zea mays";"";"casual";2011;"2011";"Barina Z et al. (2014)";NA;NA
"Andorra";"Equisetum palustre";"Equisetum palustre L.";"Equisetaceae";"Equisetales";"Polypodiopsida";"Tracheophyta";"TPL";"Equisetum�palustre�L.";"";"established";2017;"2017";"Jones et al. (2019)";NA;NA
"Austria";"Achillea clypeolata";"Achillea clypeolata Sibth. & Sm.";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"GBIF";"Achillea clypeolata";"";"";2019;"2019";"Neilreichia 11: 165-227 (2020)";NA;NA
"Austria";"Agastache rugosa";"Agastache rugosa (Fisch. & C.A.Mey.) Kuntze";"Lamiaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"GBIF";"Lopanthus rugosus";"";"";2019;"2019";"Neilreichia 11: 165-227 (2020)";NA;NA
"Austria";"Ameles spallanzania";"Ameles spallanzania Rossi, 1792";"Amelidae";"Mantodea";"Insecta";"Arthropoda";"GBIF";"Ameles spallanzania";"";"";2020;"2020";"Essl and Zuna-Kratky, 2021";NA;NA
"Austria";"Belonochilus numenius";"Belonochilus numenius (Say & T., 1831)";"Lygaeidae";"Hemiptera";"Insecta";"Arthropoda";"GBIF";"Belonochilus numenius (Say, 1831)";"";"established";2011;"2011";"DAISIE";NA;NA
"Austria";"Berberis x ottawensis";"Berberis �ottawensis C.K.Schneid.";"Berberidaceae";"Ranunculales";"Magnoliopsida";"Tracheophyta";"GBIF";"Berberis x ottawensis";"";"";2016;"2016";"Neilreichia 11: 165-227 (2020)";NA;NA
"Austria";"Bistorta amplexicaulis";"Bistorta amplexicaulis (D.Don) Greene";"Polygonaceae";"Caryophyllales";"Magnoliopsida";"Tracheophyta";"GBIF";"Persicaria amplexicaulis, Polygonum amplexicaulis";"";"";2017;"2017";"Neilreichia 10: 197-274 (2019)";NA;NA
"Austria";"Callopistromyia annulipes";"";"Ulidiidae";"Diptera";"Insecta";"Arthropoda";"";"";"";"";2014;"2014";"Korneyev et al 2014";NA;NA
"Austria";"Ceratitis capitata";"Ceratitis capitata (Wiedemann, 1824)";"Tephritidae";"Diptera";"Insecta";"Arthropoda";"GBIF";"Ceratitis capitata (Wiedemann, 1824)";"";"alien";2011;"2011";"Roques et al. (2010); Roques et al. (2016)";NA;NA
"Austria";"Ceterach officinarum";"Ceterach officinarum Willd.";"Aspleniaceae";"Polypodiales";"Polypodiopsida";"Tracheophyta";"TPL";"Ceterach officinarum Willd.";"";"established";2017;"2017";"Jones et al. (2019)";NA;NA
"Austria";"Chamaesyce canescens";"Chamaesyce canescens (L.) Prokh.";"Euphorbiaceae";"Malphigiales";"Magnoliopsida";"Tracheophyta";"GBIF";"Euphorbia canescens";"";"";2013;"2013";"Neilreichia 7: 157-194 (2015)";NA;NA
"Austria";"Cicer arietinum";"Cicer arietinum L.";"Fabaceae";"Fabales";"Magnoliopsida";"Tracheophyta";"GBIF";"Cicer arietinum";"";"alien";2019;"2019";"Neilreichia 11: 165-227 (2020)";NA;NA
"Austria";"Corythucha arcuata";"Corythucha arcuata Say";"Tingidae";"Hemiptera";"Insecta";"Arthropoda";"GBIF";"Corythucha arcuata";"";"";2017;"2017";"Cs�ka et al. 2019";NA;NA
"Austria";"Cyrtaspis scutata";"Cyrtaspis scutata (Charpentier, 1825)";"Tettigoniidae";"Orthoptera";"Insecta";"Arthropoda";"GBIF";"Cyrtaspis scutata";"";"";2018;"2018";"Essl and Zuna-Kratky, 2021";NA;NA
"Austria";"Drosophila suzukii";"Drosophila suzukii (Matsumura, 1931)";"Drosophilidae";"Diptera";"Insecta";"Arthropoda";"GBIF";"Drosophila suzukii";"";"";2011;"2011";"CABI ISC";NA;NA
"Austria";"Dryocosmus kuriphilus";"Dryocosmus kuriphilus Yasumatsu, 1951";"Cynipidae";"Hymenoptera";"Insecta";"Arthropoda";"GBIF";"Dryocosmus kuriphilus (Yasumatsu 1951)";"";"alien";2013;"2013";"Roques et al. (2010); Roques et al. (2016)";NA;NA
"Austria";"Eclipta prostrata";"Eclipta prostrata (L.) L.";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"GBIF";"Verbesina prostrata L.";"";"";2018;"2018";"Neilreichia 10: 197-274 (2019)";NA;NA
"Austria";"Erodium manescavii";"Erodium manescavii Coss.";"Geraniaceae";"Geraniales";"Magnoliopsida";"Tracheophyta";"GBIF";"Erodium manescavii";"";"";2017;"2017";"Neilreichia 9: 289-354 (2018)";NA;NA
"Austria";"Erysiphe corylacearum";"Erysiphe corylacearum U. Braun & S. Takam. 2002";"Erysiphaceae";"Erysiphales";"Leotiomycetes";"Ascomycota";"GBIF";"Erysiphe corylacearum";"";"";2020;"2020";"Voglmayr et al. 2020";NA;NA
"Austria";"Eupholidoptera schmidti";"Eupholidoptera schmidti (Fieber, 1861)";"Tettigoniidae";"Orthoptera";"Insecta";"Arthropoda";"GBIF";"Eupholidoptera schmidti";"";"";2011;"2011";"Essl and Zuna-Kratky, 2021";NA;NA
"Austria";"Flueggea suffruticosa";"Flueggea suffruticosa (Pall.) Baill.";"Phyllantaceae";"Malphigiales";"Magnoliopsida";"Tracheophyta";"GBIF";"Securinega suffruticosa, Pharnaceum suffruticosum Pall.";"";"";2018;"2018";"Neilreichia 10: 197-274 (2019)";NA;NA
"Austria";"Galanthus woronowii";"Galanthus woronowii Losinsk.";"Amaryllidaceae";"Asparagales";"Liliopsida";"Tracheophyta";"GBIF";"Galanthus woronowii";"";"";2015;"2015";"Neilreichia 9: 289-354 (2018)";NA;NA
"Austria";"Gryllus bimaculatus";"Gryllus bimaculatus De Geer, 1773";"Gryllidae";"Orthoptera";"Insecta";"Arthropoda";"GBIF";"Gryllus bimaculatus";"";"";2015;"2015";"Essl and Zuna-Kratky, 2021";NA;NA
"Austria";"Hierodula sp.";"Hierodula Burmeister, 1838";"Mantidae";"Mantodea";"Insecta";"Arthropoda";"GBIF";"Hierodula sp.";"";"";2020;"2020";"Essl and Zuna-Kratky, 2021";NA;NA
"Austria";"Iris oratoria";"Iris oratoria Linne, 1758";"Mantidae";"Mantodea";"Insecta";"Arthropoda";"GBIF";"Iris oratoria";"";"";2018;"2018";"Essl and Zuna-Kratky, 2021";NA;NA
"Austria";"Luperomorpha xanthodera";"Luperomorpha xanthodera (Fairmaire, 1888)";"Chrysomelidae";"Coleoptera";"Insecta";"Arthropoda";"GBIF";"Luperomorpha xanthodera (Fairmaire, 1888)";"";"established";2011;"2011";"DAISIE";NA;NA
"Austria";"Mahonia x decumbens";"Mahonia �decumbens Stace";"Berberidaceae";"Ranunculales";"Magnoliopsida";"Tracheophyta";"GBIF";"Mahonia x decumbens";"";"";2016;"2016";"Neilreichia 11: 165-227 (2020)";NA;NA
"Austria";"Mahonia x wagneri";"Mahonia wagneri (Jouin) Rehder";"Berberidaceae";"Ranunculales";"Magnoliopsida";"Tracheophyta";"GBIF";"Mahonia aquifolium";"";"";2014;"2014";"Neilreichia 11: 165-227 (2020)";NA;NA
"Austria";"Ornithogalum oligophyllum";"Ornithogalum oligophyllum E.D.Clarke";"Asparagaceae";"Asparagales";"Liliopsida";"Tracheophyta";"GBIF";"Ornithogalum oligophyllum";"";"";2012;"2012";"Neilreichia 11: 165-227 (2020)";NA;NA
"Austria";"Perovskia atriplicifolia";"Perovskia atriplicifolia Benth.";"Lamiaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"GBIF";"Salvia yangii";"";"";2017;"2017";"Neilreichia 10: 197-274 (2019)";NA;NA
"Austria";"Perovskia x superba";"P. abrotanoides x P. atripicifolia";"Lamiaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"GBIF";"P. abrotanoides � atriplicifolia";"";"";2016;"2016";"Neilreichia 8: 181-238 (2016)";NA;NA
"Austria";"Phyla nodiflora";"Phyla nodiflora (L.) Greene";"Verbenaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"GBIF";"Lippia nodiflora, Verbena nodiflora L.";"";"invasive";2017;"2017";"Neilreichia 10: 197-274 (2019)";NA;NA
"Austria";"Psephellus dealbatus";"Psephellus dealbatus (Willd.) C.Koch";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"GBIF";"Centaurea dealbata Willd.";"";"";2020;"2020";"Neilreichia 11: 165-227 (2020)";NA;NA
"Austria";"Pteronemobius lineolatus";"Pteronemobius lineolatus (Brull�, 1835)";"Trigoniidae";"Orthoptera";"Insecta";"Arthropoda";"GBIF";"Pteronemobius lineolatus";"";"";2019;"2019";"Essl and Zuna-Kratky, 2021";NA;NA
"Austria";"Rhacocleis annulata";"Rhacocleis annulata Fieber, 1853";"Tettigoniidae";"Orthoptera";"Insecta";"Arthropoda";"GBIF";"Rhacocleis annulata";"";"";2014;"2014";"Essl and Zuna-Kratky, 2021";NA;NA
"Austria";"Salix babylonica var. pekinensis cv. 'Tortuosa'";"Salix babylonica var. pekinensis Henry";"Salicaceae";"Malphigiales";"Magnoliopsida";"Tracheophyta";"GBIF";"Salix babylonica L.";"";"casual";2013;"2013";"Neilreichia 11: 165-227 (2020)";NA;NA
