"TaxonName";"scientificName";"Family";"Order";"Class";"Phylum";"Taxonomy";"OrigName";"Region";"Island";"PresentStatus";"FirstRecord";"FirstRecord_orig";"Source"
"Dichanthelium clandestinum";"Dichanthelium clandestinum";"Poaceae";"Poales";"Liliopsida";"Tracheophyta";"";"Dichanthelium clandestinum (L.) Gould";"Belgium";"";"";2012;"2012";"Verloove (2006)"
"Dichondra argentea";"Dichondra argentea Humb. & Bonpl. ex Willd.";"Convolvulaceae";"Solanales";"Magnoliopsida";"Tracheophyta";"GBIF";"Dichondra argentea";"Belgium";"";"casual";2015;"2015";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Dichondra micrantha";"Dichondra micrantha Urb.";"Convolvulaceae";"Solanales";"Magnoliopsida";"Tracheophyta";"GBIF";"Dichondra micrantha";"Belgium";"";"casual";2017;"2017";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Digitaria abyssinica";"Digitaria abyssinica (A. Rich.) Stapf";"Poaceae";"";"";"";"";"Digitaria abyssinica";"Belgium";"";"casual";2012;"2012";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Dipsacus strigosus";"Dipsacus strigosus Willd. ex Roem. & Schult.";"Caprifoliaceae";"";"";"";"";"Dipsacus strigosus";"Belgium";"";"Naturalized";2012;"2012";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Dryopteris cycadina";"Dryopteris cycadina";"Dryopteridaceae";"Polypodiales";"Polypodiopsida";"Tracheophyta";"TPL";"Dryopteris cycadina (Franch. & Sav.) C. Christens.";"Belgium";"";"";2015;"2015";"Verloove (2006)"
"Dryopteris erythrosora";"Dryopteris erythrosora (D.C. Eaton) Kuntze";"Dryopteridaceae";"Polypodiales";"Polypodiopsida";"Tracheophyta";"";"Dryopteris erythrosora";"Belgium";"";"casual";2015;"2015";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Dysphania anthelmintica";"Dysphania anthelmintica (L.) Mosyakin & Clemants";"Amaranthaceae";"Caryophyllales";"Magnoliopsida";"Tracheophyta";"GBIF";"Dysphania anthelmintica";"Belgium";"";"casual";2016;"2016";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Echinochloa oryzicola";"Echinochloa oryzicola (Vasing.) Vasing.";"Poaceae";"";"";"";"";"Echinochloa oryzicola";"Belgium";"";"casual";2016;"2016";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Echinopsis silvestrii";"Echinopsis silvestrii Spegazz.";"Cactaceae";"";"";"";"";"Echinopsis silvestrii";"Belgium";"";"casual";2012;"2012";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Elaeagnus macrophylla";"Elaeagnus macrophylla Thunb.";"Elaeagnaceae";"";"";"";"";"Elaeagnus macrophylla";"Belgium";"";"casual";2013;"2013";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Elaeagnus pungens";"Elaeagnus pungens Thunb.";"Elaeagnaceae";"";"";"";"";"Elaeagnus pungens";"Belgium";"";"casual";2012;"2012";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Eleocharis austriaca";"Eleocharis austriaca Hayek";"Cyperaceae";"Poales";"Liliopsida";"Tracheophyta";"";"Eleocharis austriaca Hayek";"Belgium";"";"";2014;"2014";"Verloove (2006)"
"Eleocharis engelmannii";"Eleocharis engelmannii Steud.";"Cyperaceae";"";"";"";"";"Eleocharis engelmannii";"Belgium";"";"Naturalized";2014;"2014";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Ellisiophyllum pinnatum";"Ellisiophyllum pinnatum (Wall. ex Benth.) Makino";"Plantaginaceae";"";"";"";"";"Ellisiophyllum pinnatum";"Belgium";"";"casual";2016;"2016";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Epilobium brachycarpum";"Epilobium brachycarpum C. Presl";"Onagraceae";"";"";"";"";"Epilobium brachycarpum";"Belgium";"";"Naturalized";2012;"2012";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Epimedium pinnatum";"Epimedium pinnatum Fisch. ex DC.";"Berberidaceae";"";"";"";"";"Epimedium pinnatum";"Belgium";"";"Naturalized";2012;"2012";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Callopistromyia annulipes";"";"Ulidiidae";"Diptera";"Insecta";"Arthropoda";"";"";"Belgium";"";"";2014;"2014";"Ravoet & Farinelle 2017"
"Hymenoscyphus fraxineus";"Hymenoscyphus fraxineus (T.Kowalski) Baral, Queloz & Hosoya";"Helotiaceae";"Helotiales";"Leotiomycetes";"Ascomycota";"GBIF";"Chalara fraxinea";"Belgium";"";"";2010;"2010";"EPPO global database"
"Haliaeetus leucocephalus";"Haliaeetus leucocephalus (Linnaeus, 1766)";"Accipitridae";"Accipitriformes";"Aves";"Chordata";"GBIF";"Haliaeetus leucocephalus";"Belgium";"";"casual";2013;"2013";"Checklist of Alien Birds Belgium"
"Spizaetus melanoleucus";"Spizaetus melanoleucus (Vieillot, 1816)";"Accipitridae";"Accipitriformes";"Aves";"Chordata";"GBIF";"Spizaetus melanoleucus";"Belgium";"";"";2017;"2017";"Checklist of Alien Birds Belgium"
"Anas erythrorhyncha";"Anas erythrorhyncha Gmelin, 1789";"Anatidae";"Anseriformes";"Aves";"Chordata";"GBIF";"Anas erythrorhyncha";"Belgium";"";"";2015;"2015";"Checklist of Alien Birds Belgium"
"Anas luzonica";"Anas luzonica Fraser, 1839";"Anatidae";"Anseriformes";"Aves";"Chordata";"GBIF";"Anas luzonica";"Belgium";"";"";2014;"2014";"Checklist of Alien Birds Belgium"
"Anas puna";"Anas puna Tschudi, 1844";"Anatidae";"Anseriformes";"Aves";"Chordata";"GBIF";"Anas puna";"Belgium";"";"";2012;"2012";"Checklist of Alien Birds Belgium"
"Anas superciliosa";"Anas superciliosa Gmelin, 1789";"Anatidae";"Anseriformes";"Aves";"Chordata";"GBIF";"Anas superciliosa";"Belgium";"";"";2013;"2013";"Checklist of Alien Birds Belgium"
"Anas laysanensis";"Anas laysanensis Rothschild, 1892";"Anatidae";"Anseriformes";"Aves";"Chordata";"GBIF";"Anas laysanensis";"Belgium";"";"";2012;"2012";"Checklist of Alien Birds Belgium"
"Anas gibberifrons";"Anas gibberifrons S.Muller, 1842";"Anatidae";"Anseriformes";"Aves";"Chordata";"GBIF";"Anas gibberifrons";"Belgium";"";"casual";2011;"2011";"Checklist of Alien Birds Belgium"
"Malacorhynchus membranaceus";"Malacorhynchus membranaceus (Latham, 1802)";"Anatidae";"Anseriformes";"Aves";"Chordata";"GBIF";"Malacorhynchus membranaceus";"Belgium";"";"";2016;"2016";"Checklist of Alien Birds Belgium"
"Lophodytes cucullatus";"Lophodytes cucullatus (Linnaeus, 1758)";"Anatidae";"Anseriformes";"Aves";"Chordata";"GBIF";"Lophodytes cucullatus";"Belgium";"";"";2011;"2011";"Checklist of Alien Birds Belgium"
"Nettapus coromandelianus";"Nettapus coromandelianus (Gmelin, JF, 1789)";"Anatidae";"Anseriformes";"Aves";"Chordata";"GBIF";"Nettapus coromandelianus";"Belgium";"";"";2017;"2017";"Checklist of Alien Birds Belgium"
"Oxyura vittata";"Oxyura vittata (Philippi, 1860)";"Anatidae";"Anseriformes";"Aves";"Chordata";"GBIF";"Oxyura vittata";"Belgium";"";"casual";2014;"2014";"Checklist of Alien Birds Belgium"
"Bucorvus leadbeateri";"Bucorvus leadbeateri (Vigors, 1825)";"Bucorvidae";"Bucerotiformes";"Aves";"Chordata";"GBIF";"Bucorvus leadbeateri";"Belgium";"";"casual";2018;"2018";"Checklist of Alien Birds Belgium"
"Himantopus mexicanus";"Himantopus mexicanus (Statius Muller, 1776)";"Recurvirostridae";"Charadriiformes";"Aves";"Chordata";"GBIF";"Himantopus mexicanus";"Belgium";"";"reproducing";2019;"2019";"Checklist of Alien Birds Belgium"
"Colinus virginianus";"Colinus virginianus (Linnaeus, 1758)";"Odontophoridae";"Galliformes";"Aves";"Chordata";"GBIF";"Colinus virginianus";"Belgium";"";"";2011;"2011";"Checklist of Alien Birds Belgium"
"Alectoris chukar";"Alectoris chukar (J.E.Gray, 1830)";"Phasianidae";"Galliformes";"Aves";"Chordata";"GBIF";"Alectoris chukar";"Belgium";"";"";2010;"2010";"Checklist of Alien Birds Belgium"
"Lophura leucomelanos";"Lophura leucomelanos (Latham, 1790)";"Phasianidae";"Galliformes";"Aves";"Chordata";"GBIF";"Lophura leucomelanos";"Belgium";"";"";2012;"2012";"Checklist of Alien Birds Belgium"
"Anthropoides paradiseus";"Anthropoides paradiseus (A.A.H.Lichtenstein, 1793)";"Gruidae";"Gruiformes";"Aves";"Chordata";"GBIF";"Anthropoides paradiseus";"Belgium";"";"";2016;"2016";"Checklist of Alien Birds Belgium"
"Grus vipio";"Grus vipio Pallas, 1811";"Gruidae";"Gruiformes";"Aves";"Chordata";"GBIF";"Grus vipio";"Belgium";"";"";2011;"2011";"Checklist of Alien Birds Belgium"
"Crinifer zonurus";"Crinifer zonurus (R�ppell, 1835)";"Musophagide";"Musophagiformes";"Aves";"Chordata";"GBIF";"Crinifer zonurus";"Belgium";"";"";2017;"2017";"Checklist of Alien Birds Belgium"
"Cyanopica cooki";"Cyanopica cooki Bonaparte, 1850";"Corvidae";"Passeriformes";"Aves";"Chordata";"GBIF";"Cyanopica cooki";"Belgium";"";"";2015;"2015";"Checklist of Alien Birds Belgium"
"Urocissa erythroryncha";"Urocissa erythroryncha (Boddaert, 1783)";"Corvidae";"Passeriformes";"Aves";"Chordata";"GBIF";"Urocissa erythroryncha";"Belgium";"";"";2017;"2017";"Checklist of Alien Birds Belgium"
"Quiscalus quiscula";"Quiscalus quiscula Linnaeus, 1758";"Emberizidae";"Passeriformes";"Aves";"Chordata";"GBIF";"Quiscalus quiscula";"Belgium";"";"";2012;"2012";"Checklist of Alien Birds Belgium"
"Zonotrichia capensis";"Zonotrichia capensis (P.L.Statius M�ller, 1776)";"Emberizidae";"Passeriformes";"Aves";"Chordata";"GBIF";"Zonotrichia capensis";"Belgium";"";"";2018;"2018";"Checklist of Alien Birds Belgium"
"Lonchura punctulata";"Lonchura punctulata (Linnaeus, 1758)";"Estrildidae";"Passeriformes";"Aves";"Chordata";"GBIF";"Lonchura punctulata";"Belgium";"";"";2016;"2016";"Checklist of Alien Birds Belgium"
"Euodice malabarica";"Euodice malabarica (Linnaeus, 1758)";"Estrildidae";"Passeriformes";"Aves";"Chordata";"GBIF";"Euodice malabarica";"Belgium";"";"";2013;"2013";"Checklist of Alien Birds Belgium"
"Oriolus auratus";"Oriolus auratus Vieillot, 1817";"Oriolidae";"Passeriformes";"Aves";"Chordata";"GBIF";"Oriolus auratus";"Belgium";"";"";2017;"2017";"Checklist of Alien Birds Belgium"
"Euplectes macroura";"Euplectes macroura (Gmelin, 1789)";"Ploceidae";"Passeriformes";"Aves";"Chordata";"GBIF";"Euplectes macroura";"Belgium";"";"";2010;"2010";"Checklist of Alien Birds Belgium"
"Pycnonotus barbatus";"Pycnonotus barbatus (Desfontaines, 1789)";"Pycnonotidae";"Passeriformes";"Aves";"Chordata";"GBIF";"Pycnonotus barbatus";"Belgium";"";"";2016;"2016";"Checklist of Alien Birds Belgium"
"Pycnonotus leucotis";"Pycnonotus leucotis (Gould, 1836)";"Pycnonotidae";"Passeriformes";"Aves";"Chordata";"GBIF";"Pycnonotus leucotis";"Belgium";"";"";2013;"2013";"Checklist of Alien Birds Belgium"
"Lamprotornis nitens";"Lamprotornis nitens (Linnaeus, 1766)";"Sturnidae";"Passeriformes";"Aves";"Chordata";"GBIF";"Lamprotornis nitens";"Belgium";"";"";2018;"2018";"Checklist of Alien Birds Belgium"
"Lamprotornis splendidus";"Lamprotornis splendidus (Vieillot, 1822)";"Sturnidae";"Passeriformes";"Aves";"Chordata";"GBIF";"Lamprotornis splendidus";"Belgium";"";"";2018;"2018";"Checklist of Alien Birds Belgium"
"Pelecanus conspicillatus";"Pelecanus conspicillatus Temminck, 1824";"Pelecanidae";"Pelecaniformes";"Aves";"Chordata";"GBIF";"Pelecanus conspicillatus";"Belgium";"";"";2017;"2017";"Checklist of Alien Birds Belgium"
"Eudocimus ruber";"Eudocimus ruber (Linnaeus, 1758)";"Threskiornithidae";"Pelecaniformes";"Aves";"Chordata";"GBIF";"Eudocimus ruber";"Belgium";"";"";2015;"2015";"Checklist of Alien Birds Belgium"
"Agapornis personatus";"Agapornis personatus Reichenow, 1887";"Psittacidae";"Psittaciformes";"Aves";"Chordata";"GBIF";"Agapornis personatus";"Belgium";"";"released";2014;"2014";"Checklist of Alien Birds Belgium"
"Cacatua roseicapilla";"Cacatua roseicapilla Vieillot, 1817";"Psittacidae";"Psittaciformes";"Aves";"Chordata";"GBIF";"Cacatua roseicapilla";"Belgium";"";"released";2016;"2016";"Checklist of Alien Birds Belgium"
"Cyanoramphus novaezelandiae";"Cyanoramphus novaezelandiae (Sparrman, 1787)";"Psittacidae";"Psittaciformes";"Aves";"Chordata";"GBIF";"Cyanoramphus novaezelandiae";"Belgium";"";"released";2013;"2013";"Checklist of Alien Birds Belgium"
"Nandayus nenday";"Nandayus nenday (Vieillot, 1823)";"Psittacidae";"Psittaciformes";"Aves";"Chordata";"GBIF";"Nandayus nenday";"Belgium";"";"released";2013;"2013";"Checklist of Alien Birds Belgium"
"Platycercus icterotis";"Platycercus icterotis (Temminck & Kuhl, 1820)";"Psittacidae";"Psittaciformes";"Aves";"Chordata";"GBIF";"Platycercus icterotis";"Belgium";"";"released";2015;"2015";"Checklist of Alien Birds Belgium"
"Platycercus adscitus";"Platycercus adscitus (Latham, 1790)";"Psittacidae";"Psittaciformes";"Aves";"Chordata";"GBIF";"Platycercus adscitus";"Belgium";"";"released";2012;"2012";"Checklist of Alien Birds Belgium"
"Psittacula alexandri";"Psittacula alexandri (Linnaeus, 1758)";"Psittacidae";"Psittaciformes";"Aves";"Chordata";"GBIF";"Psittacula alexandri";"Belgium";"";"released";2014;"2014";"Checklist of Alien Birds Belgium"
"Psittacula derbiana";"Psittacula derbiana (Fraser, 1852)";"Psittacidae";"Psittaciformes";"Aves";"Chordata";"GBIF";"Psittacula derbiana";"Belgium";"";"released";2016;"2016";"Checklist of Alien Birds Belgium"
"Trichoglossus haematodus";"Trichoglossus haematodus (Linnaeus, 1771)";"Psittacidae";"Psittaciformes";"Aves";"Chordata";"GBIF";"Trichoglossus haematodus";"Belgium";"";"released";2015;"2015";"Checklist of Alien Birds Belgium"
"Polytelis swainsonii";"Polytelis swainsonii (Desmarest, 1826)";"Psittacidae";"Psittaciformes";"Aves";"Chordata";"GBIF";"Polytelis swainsonii";"Belgium";"";"released";2017;"2017";"Checklist of Alien Birds Belgium"
"Polytelis anthopeplus";"Polytelis anthopeplus (Lear, 1831)";"Psittacidae";"Psittaciformes";"Aves";"Chordata";"GBIF";"Polytelis anthopeplus";"Belgium";"";"released";2018;"2018";"Checklist of Alien Birds Belgium"
"Eclectus roratus";"Eclectus roratus (Statius Muller, 1776)";"Psittacidae";"Psittaciformes";"Aves";"Chordata";"GBIF";"Eclectus roratus";"Belgium";"";"released";2010;"2010";"Checklist of Alien Birds Belgium"
"Pyrrhura perlata";"Pyrrhura perlata (von Spix, 1824)";"Psittacidae";"Psittaciformes";"Aves";"Chordata";"GBIF";"Pyrrhura perlata";"Belgium";"";"captive";2017;"2017";"Checklist of Alien Birds Belgium"
"Equisetum scirpoides";"Equisetum scirpoides";"Equisetaceae";"Equisetales";"Polypodiopsida";"Tracheophyta";"TPL";"Equisetum scirpoides Michaux";"Belgium";"";"";2014;"2014";"Verloove (2006)"
"Eragrostis albensis";"Eragrostis albensis H. Scholz";"Poaceae";"";"";"";"";"Eragrostis albensis";"Belgium";"";"casual";2015;"2015";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Eriochloa villosa";"Eriochloa villosa (Thunb.) Kunth";"Poaceae";"";"";"";"";"Eriochloa villosa";"Belgium";"";"casual";2016;"2016";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Erodium trifolium";"Erodium trifolium (Cav.) Cav.";"Geraniaceae";"";"";"";"";"Erodium trifolium";"Belgium";"";"casual";2017;"2017";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Eryngium bourgatii";"Eryngium bourgatii Gouan";"Apiaceae";"Apiales";"Magnoliopsida";"Tracheophyta";"GBIF";"Eryngium bourgatii";"Belgium";"";"casual";2013;"2013";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Erythranthe guttata";"Erythranthe guttata";"Phrymaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"";"Erythranthe guttata (DC.) G.L. Nesom (incl. hybrids)";"Belgium";"";"";2012;"2012";"Verloove (2006)"
"Erythranthe moschata";"Erythranthe moschata";"Phrymaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"";"Erythranthe moschata ( Douglas ex Lindl. ) G.L. Nesom";"Belgium";"";"";2019;"2019";"Verloove (2006)"
"Erythranthe cuprea (incl. hybrids)";"Erythranthe cuprea (Dombrain) G.L. Nesom (incl. hybrids)";"Phrymaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"";"Erythranthe cuprea (incl. hybrids)";"Belgium";"";"casual";2011;"2011";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Erythranthe lutea (incl. hybrids)";"Erythranthe lutea (L.) G.L.Nesom (incl. hybrids)";"Phrymaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"";"Erythranthe lutea (incl. hybrids)";"Belgium";"";"casual";2012;"2012";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Euonymus alatus";"Euonymus alatus (Thunb.) Siebold";"Celastraceae";"";"";"";"";"Euonymus alatus";"Belgium";"";"casual";2011;"2011";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Euonymus hederaceus";"Euonymus hederaceus";"Celastraceae";"Celastrales";"Magnoliopsida";"Tracheophyta";"";"Euonymus hederaceus Champ. ex Benth.";"Belgium";"";"";2010;"2010";"Verloove (2006)"
"Euonymus japonicus";"Euonymus japonicus Thunb.";"Celastraceae";"Celastrales";"Magnoliopsida";"Tracheophyta";"";"Euonymus japonicus";"Belgium";"";"casual";2010;"2010";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Euphorbia pseudoesula";"Euphorbia pseudoesula";"Euphorbiaceae";"Malpighiales";"Magnoliopsida";"Tracheophyta";"TPL";"Euphorbia pseudoesula Schur";"Belgium";"";"";2017;"2017";"Verloove (2006)"
"Fumaria bastardii";"Fumaria bastardii Boreau";"Papaveraceae";"";"";"";"";"Fumaria bastardii";"Belgium";"";"casual";2017;"2017";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Galanthus plicatus";"Galanthus plicatus Bieb.";"Amaryllidaceae";"Asparagales";"Liliopsida";"Tracheophyta";"TPL";"Galanthus plicatus Bieb.";"Belgium";"";"";2015;"2015";"Verloove (2006)"
"Galanthus warei";"Galanthus warei J. Allen";"Amaryllidaceae";"Asparagales";"Liliopsida";"Tracheophyta";"";"Galanthus warei J. Allen";"Belgium";"";"";2014;"2014";"Verloove (2006)"
"Galanthus woronowii";"Galanthus woronowii Losinsk.";"Amaryllidaceae";"Asparagales";"Liliopsida";"Tracheophyta";"";"Galanthus woronowii";"Belgium";"";"casual";2015;"2015";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Geranium psilostemon";"Geranium psilostemon Ledeb.";"Geraniaceae";"";"";"";"";"Geranium psilostemon";"Belgium";"";"casual";2013;"2013";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Ginkgo biloba";"Ginkgo biloba L.";"Ginkgoaceae";"";"";"";"";"Ginkgo biloba";"Belgium";"";"casual";2011;"2011";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Gladiolus italicus";"Gladiolus italicus Mill.";"Iridaceae";"";"";"";"";"Gladiolus italicus";"Belgium";"";"casual";2012;"2012";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Glandularia hybrida";"Glandularia hybrida";"Verbenaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"";"Glandularia hybrida (Gr�nland & R�mpler) Nesom & Pruski";"Belgium";"";"";2010;"2010";"Verloove (2006)"
"Glaucium grandiflorum";"Glaucium grandiflorum Boiss. & A. Huet";"Papaveraceae";"";"";"";"";"Glaucium grandiflorum";"Belgium";"";"casual";2016;"2016";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Glyceria striata subsp. diffomis";"Glyceria striata (Lam.) Hitchc. subsp. diffomis Portal";"Poaceae";"";"";"";"";"Glyceria striata subsp. diffomis";"Belgium";"";"Naturalized";2017;"2017";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Gomphocarpus fruticosus";"Gomphocarpus fruticosus (L.) W.T.Aiton";"Apocynaceae";"";"";"";"";"Gomphocarpus fruticosus";"Belgium";"";"casual";2017;"2017";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Guizotia scabra subsp. schimperi";"Guizotia scabra (Vis,) Chiov. subsp. schimperi (Sch. Bip.) J. Baag�e";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"GBIF";"Guizotia scabra subsp. schimperi";"Belgium";"";"casual";2015;"2015";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Gutenbergia rueppellii";"Gutenbergia rueppellii Schultz-Bip.";"Asteraceae";"Asterales";"Magnoliopsida";"Tracheophyta";"GBIF";"Gutenbergia rueppellii";"Belgium";"";"casual";2013;"2013";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Halimium alyssoides";"Halimium alyssoides (Lam.) K. Koch";"Cistaceae";"";"";"";"";"Halimium alyssoides";"Belgium";"";"casual";2012;"2012";"Verloove F, Groom Q, Brosens D, Desmet P, Reyserhove L (2020). Manual of the Alien Plants of Belgium. Version 1.10. Meise Botanic Garden. Checklist dataset https://doi.org/10.15468/wtda1m accessed via GBIF.org on 2021-09-10."
"Hedera hibernica";"Hedera hibernica";"Araliaceae";"Apiales";"Magnoliopsida";"Tracheophyta";"TPL";"Hedera hibernica (Kirchner) Bean";"Belgium";"";"";2010;"2010";"Verloove (2006)"
