"TaxonName";"scientificName";"Family";"Order";"Class";"Phylum";"Taxonomy";"OrigName";"Region";"Island";"PresentStatus";"FirstRecord";"FirstRecord_orig";"Source"
"Hordeum distichon";"Hordeum distichon";"Poaceae";"Poales";"Magnoliopsida";"Tracheophyta";"TPL";"Hordeum distichon";"Albania";"";"casual";2011;"2011";"Barina Z et al. (2014)"
"Impatiens balsamina";"Impatiens balsamina";"Balsaminaceae";"Ericales";"Magnoliopsida";"Tracheophyta";"TPL";"Impatiens balsamina";"Albania";"";"casual";2011;"2011";"Barina Z et al. (2014)"
"Lactuca sativa";"Lactuca sativa";"Compositae";"Asterales";"Magnoliopsida";"Tracheophyta";"TPL";"Lactuca sativa";"Albania";"";"casual";2012;"2012";"Barina Z et al. (2014)"
"Lycopersicon esculentum";"Lycopersicon esculentum";"Solanaceae";"Solanales";"Magnoliopsida";"Tracheophyta";"TPL";"Lycopersicon esculentum";"Albania";"";"casual";2010;"2010";"Barina Z et al. (2014)"
"Mirabilis jalapa";"Mirabilis jalapa";"Nyctaginaceae";"Caryophyllales";"Magnoliopsida";"Tracheophyta";"TPL";"Mirabilis jalapa";"Albania";"";"casual";2010;"2010";"Barina Z et al. (2014)"
"Morus nigra";"Morus nigra";"Moraceae";"Rosales";"Magnoliopsida";"Tracheophyta";"TPL";"Morus nigra";"Albania";"";"casual";2012;"2012";"Barina Z et al. (2014)"
"Panicum dichotomiflorum";"Panicum dichotomiflorum";"Poaceae";"Poales";"Magnoliopsida";"Tracheophyta";"TPL";"Panicum dichotomiflorum";"Albania";"";"casual";2013;"2013";"Barina Z et al. (2014)"
"Parthenocissus quinquefolia";"Parthenocissus quinquefolia";"Vitaceae";"Vitales";"Magnoliopsida";"Tracheophyta";"TPL";"Parthenocissus quinquefolia";"Albania";"";"casual";2011;"2011";"Barina Z et al. (2014)"
"Phaseolus vulgaris";"Phaseolus vulgaris";"Leguminosae";"Fabales";"Magnoliopsida";"Tracheophyta";"TPL";"Phaseolus vulgaris";"Albania";"";"casual";2011;"2011";"Barina Z et al. (2014)"
"Phoenix canariensis";"Phoenix canariensis";"Arecaceae";"Arecales";"Magnoliopsida";"Tracheophyta";"TPL";"Phoenix canariensis";"Albania";"";"casual";2011;"2011";"Barina Z et al. (2014)"
"Salix babylonica";"Salix babylonica";"Salicaceae";"Malpighiales";"Magnoliopsida";"Tracheophyta";"TPL";"Salix babylonica";"Albania";"";"casual";2010;"2010";"Barina Z et al. (2014)"
"Senecio angulatus";"Senecio angulatus";"Compositae";"Asterales";"Magnoliopsida";"Tracheophyta";"TPL";"Senecio angulatus";"Albania";"";"established";2010;"2010";"Barina Z et al. (2014)"
"Sisyrinchium angustifolium";"Sisyrinchium angustifolium";"Iridaceae";"Asparagales";"Liliopsida";"Tracheophyta";"TPL";"Sisyrinchium angustifolium";"Albania";"";"established";2013;"2013";"Barina Z et al. (2014)"
"Solanum tuberosum";"Solanum tuberosum";"Solanaceae";"Solanales";"Magnoliopsida";"Tracheophyta";"TPL";"Solanum tuberosum";"Albania";"";"casual";2012;"2012";"Barina Z et al. (2014)"
"Symphoricarpos albus";"Symphoricarpos albus";"Caprifoliaceae";"Dipsacales";"Magnoliopsida";"Tracheophyta";"TPL";"Symphoricarpos albus";"Albania";"";"casual";2011;"2011";"Barina Z et al. (2014)"
"Tagetes erecta";"Tagetes erecta";"Compositae";"Asterales";"Magnoliopsida";"Tracheophyta";"TPL";"Tagetes erecta";"Albania";"";"casual";2011;"2011";"Barina Z et al. (2014)"
"Tagetes minuta";"Tagetes minuta";"Compositae";"Asterales";"Magnoliopsida";"Tracheophyta";"TPL";"Tagetes minuta";"Albania";"";"established";2010;"2010";"Barina Z et al. (2014)"
"Triticum aestivum";"Triticum aestivum";"Poaceae";"Poales";"Liliopsida";"Tracheophyta";"TPL";"Triticum aestivum";"Albania";"";"casual";2011;"2011";"Barina Z et al. (2014)"
"Veronica peregrina";"Veronica peregrina";"Plantaginaceae";"Lamiales";"Magnoliopsida";"Tracheophyta";"TPL";"Veronica peregrina";"Albania";"";"established";2010;"2010";"Barina Z et al. (2014)"
"Vicia faba";"Vicia faba";"Leguminosae";"Fabales";"Magnoliopsida";"Tracheophyta";"TPL";"Vicia faba";"Albania";"";"casual";2013;"2013";"Barina Z et al. (2014)"
